Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Since,Family_Size,Alone,Partner,Sum_Mnt,Num_Accepted_Cmp,Num_Total_Purchases,Income_Binned,Cluster,income_group,purchase_group
1,38360.0,1.0,0.0,2013-05-31,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,3.0,False,True,131.0,0.0,7.0,Low,0,20k-40k,6-10
3,84618.0,0.0,0.0,2013-11-22,96.0,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,11.0,2.0,False,True,1672.0,1.0,25.0,Very High,1,80k-100k,21-25
2,10979.0,0.0,0.0,2014-05-22,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,1.0,True,False,30.0,0.0,6.0,Very Low,0,<20k,6-10
2,38620.0,0.0,0.0,2013-05-11,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,11.0,2.0,False,True,318.0,0.0,10.0,Low,0,20k-40k,6-10
1,40548.0,0.0,1.0,2012-10-10,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,12.0,3.0,False,True,120.0,1.0,7.0,Medium,2,40k-60k,6-10
3,46610.0,0.0,2.0,2012-10-29,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,12.0,3.0,True,False,302.0,1.0,11.0,Medium,2,40k-60k,11-15
2,68657.0,0.0,0.0,2013-02-20,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,11.0,2.0,False,True,1196.0,0.0,17.0,High,1,60k-80k,16-20
2,49389.0,1.0,1.0,2013-08-29,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,3.0,True,False,65.0,0.0,5.0,Medium,2,40k-60k,0-5
3,67353.0,0.0,1.0,2013-12-31,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,11.0,3.0,False,True,913.0,0.0,23.0,High,1,60k-80k,21-25
2,23718.0,1.0,0.0,2013-09-02,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,11.0,3.0,False,True,81.0,0.0,6.0,Low,0,20k-40k,6-10
1,42429.0,0.0,1.0,2014-02-11,99.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,10.0,2.0,True,False,67.0,0.0,5.0,Medium,2,40k-60k,0-5
3,48948.0,0.0,0.0,2013-02-01,53.0,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,11.0,1.0,True,False,902.0,2.0,22.0,Medium,2,40k-60k,21-25
1,80011.0,0.0,1.0,2013-04-29,3.0,421.0,76.0,536.0,82.0,178.0,102.0,2.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,11.0,3.0,False,True,1395.0,0.0,19.0,Very High,1,80k-100k,16-20
2,20559.0,1.0,0.0,2013-03-12,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,11.0,3.0,False,True,53.0,0.0,5.0,Low,0,20k-40k,0-5
1,21994.0,0.0,1.0,2012-12-24,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,12.0,3.0,False,True,22.0,0.0,3.0,Low,0,20k-40k,0-5
3,51381.5,0.0,0.0,2013-11-05,80.0,81.0,11.0,50.0,3.0,2.0,39.0,1.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,11.0,1.0,True,False,186.0,0.0,8.0,Medium,2,40k-60k,6-10
2,7500.0,1.0,0.0,2013-10-02,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,3.0,False,True,31.0,0.0,5.0,Very Low,0,<20k,0-5
1,79941.0,0.0,0.0,2014-06-28,72.0,123.0,164.0,266.0,227.0,30.0,174.0,1.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10.0,1.0,True,False,984.0,0.0,15.0,High,1,60k-80k,11-15
2,7500.0,0.0,0.0,2012-11-09,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,12.0,2.0,False,True,122.0,1.0,7.0,Very Low,0,<20k,6-10
1,41728.0,1.0,0.0,2013-05-24,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,11.0,3.0,False,True,55.0,0.0,4.0,Medium,2,40k-60k,0-5
1,51381.5,2.0,1.0,2014-01-01,96.0,48.0,5.0,48.0,6.0,10.0,7.0,3.0,2.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.0,4.0,True,False,124.0,0.0,7.0,Medium,2,40k-60k,6-10
3,72550.0,1.0,1.0,2012-11-08,39.0,826.0,50.0,317.0,50.0,38.0,38.0,9.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,12.0,4.0,False,True,1319.0,0.0,19.0,High,1,60k-80k,16-20
1,65486.0,0.0,1.0,2014-05-12,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,10.0,2.0,True,False,507.0,0.0,16.0,High,1,60k-80k,16-20
2,79143.0,0.0,0.0,2012-08-11,2.0,650.0,37.0,780.0,27.0,167.0,32.0,1.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,12.0,2.0,False,True,1693.0,0.0,28.0,High,1,60k-80k,26-30
1,35790.0,1.0,0.0,2013-01-02,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,11.0,2.0,True,False,72.0,0.0,5.0,Low,0,20k-40k,0-5
1,82582.0,0.0,0.0,2014-06-07,54.0,510.0,120.0,550.0,156.0,40.0,241.0,1.0,4.0,9.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,47.0,10.0,1.0,True,False,1617.0,3.0,20.0,Very High,1,80k-100k,16-20
1,66373.0,1.0,1.0,2013-06-12,57.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,11.0,4.0,False,True,606.0,0.0,16.0,High,1,60k-80k,16-20
2,82384.0,0.0,0.0,2012-11-19,55.0,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,69.0,12.0,2.0,False,True,1957.0,2.0,26.0,Very High,1,80k-100k,26-30
1,70287.0,0.0,0.0,2013-04-02,30.0,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,11.0,1.0,True,False,1093.0,1.0,20.0,High,1,60k-80k,16-20
1,27938.0,1.0,0.0,2014-04-28,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,2.0,True,False,29.0,0.0,5.0,Low,0,20k-40k,0-5
1,51381.5,1.0,0.0,2013-06-17,57.0,11.0,3.0,22.0,2.0,2.0,6.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11.0,2.0,True,False,46.0,0.0,5.0,Medium,2,40k-60k,0-5
3,55954.0,0.0,1.0,2014-03-03,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,10.0,3.0,False,True,518.0,0.0,16.0,Medium,2,40k-60k,16-20
2,75777.0,0.0,0.0,2013-07-04,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,42.0,11.0,1.0,True,False,1438.0,3.0,20.0,High,1,60k-80k,16-20
1,66653.0,1.0,1.0,2012-09-07,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,12.0,4.0,False,True,612.0,0.0,18.0,High,1,60k-80k,16-20
1,61823.0,0.0,1.0,2013-02-18,26.0,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,11.0,2.0,True,False,884.0,0.0,20.0,High,2,60k-80k,16-20
3,67680.0,0.0,1.0,2013-06-11,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,2.0,True,False,606.0,0.0,18.0,High,1,60k-80k,16-20
1,70666.0,0.0,0.0,2013-12-06,29.0,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,11.0,2.0,False,True,1076.0,0.0,15.0,High,1,60k-80k,11-15
1,25721.0,1.0,0.0,2013-05-21,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.0,11.0,3.0,False,True,34.0,1.0,4.0,Low,0,20k-40k,0-5
1,32474.0,1.0,1.0,2014-05-11,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,10.0,4.0,False,True,11.0,0.0,3.0,Low,0,20k-40k,0-5
2,88194.0,0.0,1.0,2014-03-19,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,45.0,10.0,2.0,True,False,1274.0,3.0,31.0,Very High,1,80k-100k,>30
1,69096.0,0.0,1.0,2013-09-27,4.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,11.0,3.0,False,True,653.0,0.0,17.0,High,1,60k-80k,16-20
1,74854.0,1.0,2.0,2013-04-08,90.0,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,11.0,5.0,False,True,1562.0,0.0,12.0,High,1,60k-80k,11-15
2,66991.0,0.0,0.0,2012-09-11,1.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,12.0,2.0,False,True,1253.0,0.0,18.0,High,1,60k-80k,16-20
2,51381.5,1.0,0.0,2012-09-14,25.0,25.0,3.0,43.0,17.0,4.0,17.0,3.0,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,12.0,3.0,False,True,109.0,0.0,6.0,Medium,2,40k-60k,6-10
1,65031.0,0.0,1.0,2013-03-17,29.0,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,11.0,3.0,False,True,863.0,0.0,26.0,High,1,60k-80k,26-30
3,60631.0,1.0,1.0,2013-04-05,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,4.0,False,True,661.0,1.0,19.0,High,2,60k-80k,16-20
1,28332.0,0.0,0.0,2014-04-30,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,10.0,2.0,False,True,65.0,0.0,7.0,Low,0,20k-40k,6-10
1,40246.0,1.0,0.0,2012-12-19,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,2.0,True,False,13.0,0.0,3.0,Medium,2,40k-60k,0-5
2,75251.0,0.0,0.0,2012-08-27,34.0,721.0,111.0,925.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,12.0,2.0,False,True,1890.0,1.0,18.0,High,1,60k-80k,16-20
1,75825.0,0.0,0.0,2012-10-12,40.0,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,12.0,1.0,True,False,2209.0,2.0,22.0,High,1,60k-80k,21-25
2,26326.0,0.0,0.0,2013-09-04,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,11.0,2.0,False,True,18.0,0.0,3.0,Low,0,20k-40k,0-5
1,56046.0,0.0,0.0,2013-01-02,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,59.0,11.0,2.0,False,True,692.0,2.0,19.0,Medium,2,40k-60k,16-20
1,29760.0,1.0,0.0,2012-08-29,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,12.0,2.0,True,False,165.0,0.0,8.0,Low,0,20k-40k,6-10
1,26304.0,1.0,0.0,2013-06-23,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,11.0,3.0,False,True,16.0,0.0,3.0,Low,0,20k-40k,0-5
2,23559.0,1.0,0.0,2013-07-03,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.0,3.0,False,True,79.0,0.0,6.0,Low,0,20k-40k,6-10
2,38620.0,0.0,0.0,2013-05-11,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,11.0,2.0,False,True,318.0,0.0,10.0,Low,0,20k-40k,6-10
1,81361.0,0.0,0.0,2014-02-25,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,10.0,1.0,True,False,778.0,0.0,26.0,Very High,1,80k-100k,26-30
1,29440.0,1.0,1.0,2013-08-11,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,11.0,4.0,False,True,56.0,0.0,5.0,Low,0,20k-40k,0-5
2,36138.0,1.0,1.0,2013-07-16,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,11.0,4.0,False,True,151.0,1.0,8.0,Low,0,20k-40k,6-10
1,50388.0,0.0,1.0,2014-05-28,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,67.0,10.0,2.0,True,False,372.0,3.0,13.0,Medium,2,40k-60k,11-15
1,79593.0,0.0,0.0,2014-05-12,70.0,350.0,60.0,568.0,110.0,133.0,145.0,1.0,5.0,6.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,10.0,2.0,False,True,1366.0,1.0,18.0,High,1,60k-80k,16-20
1,54178.0,0.0,1.0,2014-01-21,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,10.0,3.0,False,True,194.0,0.0,9.0,Medium,2,40k-60k,6-10
3,51381.5,2.0,1.0,2012-11-19,4.0,230.0,42.0,192.0,49.0,37.0,53.0,12.0,7.0,2.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,12.0,5.0,False,True,603.0,0.0,17.0,Medium,2,40k-60k,16-20
1,51381.5,1.0,1.0,2014-05-27,45.0,7.0,0.0,8.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,10.0,3.0,True,False,18.0,0.0,3.0,Medium,2,40k-60k,0-5
2,51381.5,0.0,0.0,2013-11-23,87.0,445.0,37.0,359.0,98.0,28.0,18.0,1.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.0,2.0,False,True,985.0,0.0,14.0,Medium,2,40k-60k,11-15
2,42394.0,1.0,0.0,2014-03-23,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,2.0,True,False,32.0,0.0,4.0,Medium,2,40k-60k,0-5
3,23626.0,1.0,0.0,2014-05-24,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,3.0,False,True,43.0,0.0,7.0,Low,0,20k-40k,6-10
